Age,Annual_Income,CIBIL_Score,Employment_Type,Work_Experience_Years,Loan_Amount_Requested,Loan_Purpose,Existing_Loans,Credit_History_Years,Monthly_Debt,Dependents,Education_Level,Property_Ownership,City_Tier,Monthly_Income,Debt_to_Income_Ratio,Loan_to_Income_Ratio,Age_Income_Product,Experience_to_Age_Ratio,Loan_Approved
26,1144826,762,Salaried,0,240108,Home,1,18,1858,3,Bachelor,Owned,1,95402.16666666667,0.019475448670802375,0.2097331821604331,29.765476,0.0,1
62,1144826,762,Salaried,33,240108,Personal,1,22,57878,3,Bachelor,Owned,1,95402.16666666667,0.6066738526203982,0.2097331821604331,70.979212,0.532258064516129,0
24,1144826,762,Salaried,19,240108,Home,0,18,11258,1,High School,Rented,3,95402.16666666667,0.11800570567055604,0.2097331821604331,27.475824,0.7916666666666666,1
49,1144826,762,Salaried,35,240108,Home,1,1,97511,2,High School,Mortgaged,1,95402.16666666667,1.0,0.2097331821604331,56.096474,0.7142857142857143,1
38,1144826,762,Self-Employed,33,240108,Vehicle,0,4,14640,1,High School,Rented,1,95402.16666666667,0.15345563430599934,0.2097331821604331,43.503388,0.868421052631579,1
46,1144826,762,Salaried,33,240108,Business,3,2,59311,3,High School,Owned,2,95402.16666666667,0.6216944758417436,0.2097331821604331,52.661996,0.717391304347826,1
64,1144826,762,Salaried,12,240108,Business,1,12,87614,0,Bachelor,Owned,3,95402.16666666667,0.9183648868911083,0.2097331821604331,73.268864,0.1875,1
54,1144826,762,Salaried,5,240108,Personal,1,24,95023,1,PhD,Rented,2,95402.16666666667,0.9960255969029355,0.2097331821604331,61.820604,0.09259259259259259,1
30,1144826,762,Salaried,35,240108,Home,2,6,56363,1,High School,Owned,3,95402.16666666667,0.5907937101358635,0.2097331821604331,34.34478,1.1666666666666667,1
56,1144826,762,Salaried,24,240108,Home,0,10,11826,1,Master,Rented,1,95402.16666666667,0.12395944885947732,0.2097331821604331,64.110256,0.42857142857142855,1
34,1144826,762,Self-Employed,26,240108,Vehicle,0,16,72893,0,Bachelor,Rented,2,95402.16666666667,0.7640602152641537,0.2097331821604331,38.924084,0.7647058823529411,1
51,1144826,762,Salaried,30,240108,Business,2,0,27375,2,Master,Rented,3,95402.16666666667,0.2869431686561975,0.2097331821604331,58.386126,0.5882352941176471,1
35,1144826,762,Salaried,2,240108,Personal,1,21,24270,0,Master,Rented,2,95402.16666666667,0.25439673801957674,0.2097331821604331,40.06891,0.05714285714285714,1
28,1144826,762,Salaried,27,240108,Education,0,3,13180,2,Master,Rented,3,95402.16666666667,0.13815199864433547,0.2097331821604331,32.055128,0.9642857142857143,1
34,1144826,762,Business,3,240108,Business,0,0,24015,1,Master,Mortgaged,2,95402.16666666667,0.2517238427499026,0.2097331821604331,38.924084,0.08823529411764706,1
43,1144826,762,Salaried,16,240108,Education,1,8,12767,0,High School,Owned,2,95402.16666666667,0.1338229565016867,0.2097331821604331,49.227518,0.37209302325581395,1
60,1144826,762,Salaried,37,240108,Business,1,17,51809,2,Bachelor,Rented,2,95402.16666666667,0.5430589452021529,0.2097331821604331,68.68956,0.6166666666666667,1
41,1144826,762,Salaried,33,240108,Home,1,16,63544,1,Bachelor,Owned,3,95402.16666666667,0.6660645373183348,0.2097331821604331,46.937866,0.8048780487804879,1
36,1144826,762,Salaried,19,240108,Personal,0,18,60585,0,High School,Owned,3,95402.16666666667,0.6350484702478805,0.2097331821604331,41.213736,0.5277777777777778,1
38,1144826,762,Self-Employed,12,240108,Personal,2,14,21259,3,Bachelor,Owned,3,95402.16666666667,0.22283560995295354,0.2097331821604331,43.503388,0.3157894736842105,1
44,1144826,762,Salaried,4,240108,Education,0,9,91601,1,High School,Rented,2,95402.16666666667,0.9601563905781315,0.2097331821604331,50.372344,0.09090909090909091,1
46,1144826,762,Self-Employed,23,240108,Vehicle,1,11,21051,3,Master,Owned,2,95402.16666666667,0.22065536596827814,0.2097331821604331,52.661996,0.5,1
45,1144826,762,Salaried,37,240108,Business,1,15,74499,1,Bachelor,Mortgaged,3,95402.16666666667,0.7808942144919839,0.2097331821604331,51.51717,0.8222222222222222,1
61,1144826,762,Business,16,240108,Home,0,11,65213,3,Master,Rented,2,95402.16666666667,0.6835588989069081,0.2097331821604331,69.834386,0.26229508196721313,1
49,1144826,762,Salaried,30,240108,Home,2,0,23468,1,Bachelor,Owned,2,95402.16666666667,0.24599022034789564,0.2097331821604331,56.096474,0.6122448979591837,1
35,1144826,762,Business,27,240108,Education,2,12,62524,0,High School,Rented,3,95402.16666666667,0.6553729562396381,0.2097331821604331,40.06891,0.7714285714285715,1
21,1144826,762,Salaried,0,240108,Home,0,3,2601,0,Master,Owned,3,95402.16666666667,0.02726353175067652,0.2097331821604331,24.041346,0.0,1
45,1144826,762,Salaried,1,240108,Home,1,19,31663,2,Bachelor,Owned,3,95402.16666666667,0.3318897369556596,0.2097331821604331,51.51717,0.022222222222222223,1
27,1144826,762,Salaried,32,240108,Education,2,21,19475,2,Master,Rented,2,95402.16666666667,0.20413582500746838,0.2097331821604331,30.910302,1.1851851851851851,1
29,1144826,762,Business,39,240108,Personal,3,11,74863,0,Bachelor,Owned,1,95402.16666666667,0.7847096414651659,0.2097331821604331,33.199954,1.3448275862068966,1
44,1144826,762,Salaried,28,240108,Business,1,18,49875,4,High School,Owned,3,95402.16666666667,0.5227868689215653,0.2097331821604331,50.372344,0.6363636363636364,1
21,1144826,762,Salaried,3,240108,Home,1,14,92767,3,PhD,Rented,2,95402.16666666667,0.9723783352229945,0.2097331821604331,24.041346,0.14285714285714285,1
64,1144826,762,Salaried,17,240108,Home,1,8,1039,1,Bachelor,Rented,3,95402.16666666667,0.010890737981142986,0.2097331821604331,73.268864,0.265625,1
28,1144826,762,Business,23,240108,Home,0,21,51706,0,Bachelor,Rented,1,95402.16666666667,0.5419793051520493,0.2097331821604331,32.055128,0.8214285714285714,1
44,1144826,762,Salaried,31,240108,Education,1,6,93240,1,Master,Rented,1,95402.16666666667,0.9773362938996842,0.2097331821604331,50.372344,0.7045454545454546,1
31,1144826,762,Salaried,8,240108,Education,2,5,3346,3,Bachelor,Rented,2,95402.16666666667,0.0350725787150187,0.2097331821604331,35.489606,0.25806451612903225,1
37,1144826,762,Business,15,240108,Home,0,8,23262,2,Bachelor,Mortgaged,1,95402.16666666667,0.24383094024768828,0.2097331821604331,42.358562,0.40540540540540543,1
28,1144826,762,Business,20,240108,Home,1,17,11276,3,Bachelor,Owned,2,95402.16666666667,0.11819438063076834,0.2097331821604331,32.055128,0.7142857142857143,1
55,1144826,762,Salaried,29,240108,Home,2,7,73462,0,PhD,Owned,2,95402.16666666667,0.7700244403953089,0.2097331821604331,62.96543,0.5272727272727272,1
55,1144826,762,Business,2,240108,Education,0,20,84330,4,Bachelor,Rented,1,95402.16666666667,0.8839421885945986,0.2097331821604331,62.96543,0.03636363636363636,1
53,1144826,762,Salaried,32,240108,Home,0,17,85323,2,Bachelor,Mortgaged,3,95402.16666666667,0.8943507572329769,0.2097331821604331,60.675778,0.6037735849056604,1
25,1144826,762,Salaried,30,240108,Home,0,12,85424,0,High School,Rented,1,95402.16666666667,0.8954094333986125,0.2097331821604331,28.62065,1.2,1
62,1144826,762,Self-Employed,13,240108,Home,1,6,1262,1,Master,Rented,1,95402.16666666667,0.01322821109932863,0.2097331821604331,70.979212,0.20967741935483872,1
59,1144826,762,Self-Employed,5,240108,Business,2,11,54681,3,Bachelor,Rented,2,95402.16666666667,0.5731630832982479,0.2097331821604331,67.544734,0.0847457627118644,0
61,1144826,762,Salaried,4,240108,Home,1,4,76322,0,PhD,Rented,2,95402.16666666667,0.8000027951845957,0.2097331821604331,69.834386,0.06557377049180328,1
48,1144826,762,Salaried,28,240108,Home,0,15,62632,2,High School,Rented,1,95402.16666666667,0.6565050060009119,0.2097331821604331,54.951648,0.5833333333333334,1
27,1144826,762,Salaried,36,240108,Home,0,7,73097,2,Bachelor,Rented,2,95402.16666666667,0.766198531479893,0.2097331821604331,30.910302,1.3333333333333333,1
29,1144826,762,Self-Employed,35,240108,Personal,2,21,86347,1,Bachelor,Owned,3,95402.16666666667,0.9050842660806095,0.2097331821604331,33.199954,1.206896551724138,1
28,1144826,762,Business,20,240108,Personal,1,6,37877,1,Bachelor,Rented,3,95402.16666666667,0.3970245259978372,0.2097331821604331,32.055128,0.7142857142857143,1
32,1144826,762,Salaried,11,240108,Personal,2,0,41975,3,High School,Rented,1,95402.16666666667,0.4399795252728362,0.2097331821604331,36.634432,0.34375,0
54,1144826,762,Self-Employed,22,240108,Personal,2,1,4932,4,PhD,Owned,2,95402.16666666667,0.05169693909816863,0.2097331821604331,61.820604,0.4074074074074074,1
53,1144826,762,Salaried,13,240108,Vehicle,1,8,56478,2,Master,Rented,3,95402.16666666667,0.5919991334927753,0.2097331821604331,60.675778,0.24528301886792453,1
43,1144826,762,Self-Employed,9,240108,Business,1,14,1461,2,Bachelor,Owned,1,95402.16666666667,0.015314117603897883,0.2097331821604331,49.227518,0.20930232558139536,1
44,1144826,762,Salaried,26,240108,Home,1,6,19769,1,Bachelor,Owned,3,95402.16666666667,0.2072175160242692,0.2097331821604331,50.372344,0.5909090909090909,1
57,1144826,762,Salaried,1,240108,Home,1,6,2145,1,Bachelor,Rented,1,95402.16666666667,0.022483766091965066,0.2097331821604331,65.255082,0.017543859649122806,1
55,1144826,762,Salaried,13,240108,Education,0,19,22331,3,Bachelor,Mortgaged,3,95402.16666666667,0.23407225202781906,0.2097331821604331,62.96543,0.23636363636363636,1
64,1144826,762,Business,6,240108,Personal,0,12,96266,0,Bachelor,Owned,2,95402.16666666667,1.0,0.2097331821604331,73.268864,0.09375,1
60,1144826,762,Salaried,16,240108,Vehicle,1,3,71893,0,Bachelor,Rented,3,95402.16666666667,0.7535782730301372,0.2097331821604331,68.68956,0.26666666666666666,0
42,1144826,762,Salaried,19,240108,Vehicle,2,18,55335,1,High School,Mortgaged,1,95402.16666666667,0.5800182735192946,0.2097331821604331,48.082692,0.4523809523809524,1
47,1144826,762,Self-Employed,7,240108,Personal,1,9,93147,0,High School,Mortgaged,1,95402.16666666667,0.9763614732719208,0.2097331821604331,53.806822,0.14893617021276595,1
55,1144826,762,Salaried,19,240108,Home,0,3,30281,2,Master,Owned,2,95402.16666666667,0.31740369278824904,0.2097331821604331,62.96543,0.34545454545454546,1
21,1144826,762,Salaried,35,240108,Home,2,11,98337,3,Bachelor,Rented,1,95402.16666666667,1.0,0.2097331821604331,24.041346,1.6666666666666667,0
55,1144826,762,Salaried,4,240108,Business,1,21,16445,0,Bachelor,Owned,3,95402.16666666667,0.17237554003839883,0.2097331821604331,62.96543,0.07272727272727272,1
57,1144826,762,Self-Employed,12,240108,Education,0,2,91214,1,Bachelor,Owned,3,95402.16666666667,0.9560998789335672,0.2097331821604331,65.255082,0.21052631578947367,0
34,1144826,762,Salaried,38,240108,Personal,1,7,93137,3,Master,Rented,3,95402.16666666667,0.9762566538495806,0.2097331821604331,38.924084,1.1176470588235294,1
23,1144826,762,Salaried,37,240108,Education,3,16,21676,1,Master,Rented,2,95402.16666666667,0.22720657986453835,0.2097331821604331,26.330998,1.608695652173913,1
21,1144826,762,Salaried,16,240108,Personal,1,5,88670,3,Bachelor,Owned,3,95402.16666666667,0.9294338178902296,0.2097331821604331,24.041346,0.7619047619047619,1
25,1144826,762,Business,5,240108,Personal,0,12,69124,3,High School,Rented,2,95402.16666666667,0.724553774984146,0.2097331821604331,28.62065,0.2,1
46,1144826,762,Salaried,18,240108,Home,0,17,352,4,Bachelor,Owned,1,95402.16666666667,0.0036896436663737546,0.2097331821604331,52.661996,0.391304347826087,1
34,1144826,762,Salaried,24,240108,Personal,0,15,83001,1,Master,Rented,2,95402.16666666667,0.8700116873655909,0.2097331821604331,38.924084,0.7058823529411765,1
59,1144826,762,Self-Employed,2,240108,Home,2,10,18012,1,Bachelor,Owned,2,95402.16666666667,0.18880074351910245,0.2097331821604331,67.544734,0.03389830508474576,1
47,1144826,762,Salaried,27,240108,Education,1,13,4098,2,Master,Owned,2,95402.16666666667,0.042954999274998996,0.2097331821604331,53.806822,0.574468085106383,1
29,1144826,762,Salaried,25,240108,Home,2,0,15382,2,Bachelor,Owned,1,95402.16666666667,0.16123323544363946,0.2097331821604331,33.199954,0.8620689655172413,1
35,1144826,762,Business,7,240108,Education,0,11,74542,2,Bachelor,Owned,2,95402.16666666667,0.7813449380080466,0.2097331821604331,40.06891,0.2,1
35,1144826,762,Salaried,14,240108,Vehicle,0,19,20344,1,High School,Mortgaged,2,95402.16666666667,0.21324463280882858,0.2097331821604331,40.06891,0.4,1
46,1144826,762,Self-Employed,0,240108,Personal,1,5,36387,1,High School,Rented,2,95402.16666666667,0.38140643206915287,0.2097331821604331,52.661996,0.0,1
62,1144826,762,Self-Employed,39,240108,Home,0,6,13399,1,Bachelor,Mortgaged,3,95402.16666666667,0.14044754399358506,0.2097331821604331,70.979212,0.6290322580645161,1
33,1144826,762,Salaried,22,240108,Home,1,10,531,2,High School,Rented,2,95402.16666666667,0.005565911326262681,0.2097331821604331,37.779258,0.6666666666666666,1
52,1144826,762,Salaried,35,240108,Home,1,0,75394,1,Bachelor,Rented,2,95402.16666666667,0.7902755527914286,0.2097331821604331,59.530952,0.6730769230769231,0
59,1144826,762,Business,15,240108,Vehicle,0,2,49348,1,PhD,Rented,3,95402.16666666667,0.5172628853642387,0.2097331821604331,67.544734,0.2542372881355932,1
52,1144826,762,Self-Employed,3,240108,Education,3,21,87426,2,High School,Owned,1,95402.16666666667,0.9163942817511133,0.2097331821604331,59.530952,0.057692307692307696,1
24,1144826,762,Salaried,7,240108,Personal,2,12,74663,2,Bachelor,Owned,2,95402.16666666667,0.7826132530183626,0.2097331821604331,27.475824,0.2916666666666667,1
50,1144826,762,Salaried,35,240108,Home,0,5,19706,2,Bachelor,Rented,1,95402.16666666667,0.20655715366352614,0.2097331821604331,57.2413,0.7,1
57,1144826,762,Self-Employed,9,240108,Business,1,9,94011,2,High School,Rented,3,95402.16666666667,0.9854178713621109,0.2097331821604331,65.255082,0.15789473684210525,1
43,1144826,762,Salaried,29,240108,Personal,1,21,10181,1,High School,Mortgaged,3,95402.16666666667,0.10671665388452044,0.2097331821604331,49.227518,0.6744186046511628,1
59,1144826,762,Salaried,35,240108,Home,0,6,8654,2,Bachelor,Rented,2,95402.16666666667,0.09071072809317747,0.2097331821604331,67.544734,0.5932203389830508,1
35,1144826,762,Business,15,240108,Home,0,10,25978,0,PhD,Rented,1,95402.16666666667,0.2722998953552767,0.2097331821604331,40.06891,0.42857142857142855,1
63,1144826,762,Salaried,29,240108,Home,1,22,34501,1,Bachelor,Rented,2,95402.16666666667,0.361637489015798,0.2097331821604331,72.124038,0.4603174603174603,1
49,1144826,762,Business,9,240108,Home,0,14,57366,2,High School,Mortgaged,1,95402.16666666667,0.6013070981965818,0.2097331821604331,56.096474,0.1836734693877551,1
56,1144826,762,Self-Employed,10,240108,Education,3,23,51899,1,Master,Owned,1,95402.16666666667,0.5440023200032145,0.2097331821604331,64.110256,0.17857142857142858,0
33,1144826,762,Salaried,33,240108,Home,0,10,52390,0,Master,Owned,1,95402.16666666667,0.5491489536401165,0.2097331821604331,37.779258,1.0,1
52,1144826,762,Self-Employed,15,240108,Home,0,17,60583,2,Master,Owned,1,95402.16666666667,0.6350275063634124,0.2097331821604331,59.530952,0.28846153846153844,1
27,1144826,762,Salaried,18,240108,Personal,0,0,42543,1,Master,Owned,2,95402.16666666667,0.44593326846175746,0.2097331821604331,30.910302,0.6666666666666666,1
42,1144826,762,Salaried,3,240108,Personal,1,13,74964,0,Master,Rented,3,95402.16666666667,0.7857683176308015,0.2097331821604331,48.082692,0.07142857142857142,1
48,1144826,762,Salaried,30,240108,Home,0,22,77860,4,Bachelor,Mortgaged,3,95402.16666666667,0.8161240223405128,0.2097331821604331,54.951648,0.625,1
22,1144826,762,Salaried,34,240108,Personal,2,11,74133,3,Bachelor,Owned,3,95402.16666666667,0.777057823634334,0.2097331821604331,25.186172,1.5454545454545454,0
62,1144826,762,Self-Employed,33,240108,Home,0,0,35891,0,High School,Rented,3,95402.16666666667,0.3762073887210807,0.2097331821604331,70.979212,0.532258064516129,1
26,1144826,762,Business,25,240108,Business,2,17,46849,2,Bachelor,Mortgaged,2,95402.16666666667,0.4910685117214319,0.2097331821604331,29.765476,0.9615384615384616,1
48,1144826,762,Business,38,240108,Business,0,16,91149,1,Bachelor,Mortgaged,1,95402.16666666667,0.9554185526883561,0.2097331821604331,54.951648,0.7916666666666666,1
48,1144826,762,Salaried,5,240108,Vehicle,1,13,25105,1,Bachelor,Owned,2,95402.16666666667,0.26314915978498044,0.2097331821604331,54.951648,0.10416666666666667,1
64,1144826,762,Self-Employed,32,240108,Education,1,11,89201,2,Bachelor,Rented,2,95402.16666666667,0.9349997292164922,0.2097331821604331,73.268864,0.5,1
64,1144826,762,Salaried,26,240108,Education,1,0,45441,1,Master,Owned,3,95402.16666666667,0.4763099370559369,0.2097331821604331,73.268864,0.40625,1
40,1144826,762,Salaried,11,240108,Education,1,18,18282,3,Bachelor,Rented,2,95402.16666666667,0.19163086792228687,0.2097331821604331,45.79304,0.275,1
50,1144826,762,Salaried,7,240108,Business,2,3,21833,2,Bachelor,Rented,3,95402.16666666667,0.2288522447952789,0.2097331821604331,57.2413,0.14,1
31,1144826,762,Salaried,8,240108,Business,1,4,60996,1,Master,Owned,1,95402.16666666667,0.6393565485060612,0.2097331821604331,35.489606,0.25806451612903225,1
